,Территория,Год,НС,НС%,Больные ЗППП_ingroup,Обследованные беременные_ingroup,"Обследованные лица, находящиеся в местах лишения свободы_ingroup",Обследованные по клиническим показаниям_ingroup,Обследованные при эпидемиологическом расследовании_ingroup,Потребители инъекционных наркотиков_ingroup,Прочие контингенты_ingroup,Больные ЗППП_bwgroup,Обследованные беременные_bwgroup,"Обследованные лица, находящиеся в местах лишения свободы_bwgroup",Обследованные по клиническим показаниям_bwgroup,Обследованные при эпидемиологическом расследовании_bwgroup,Потребители инъекционных наркотиков_bwgroup,Прочие контингенты_bwgroup,М,Ж,Количество уголовных дел в сфере оборота наркотиков,ст. 6.8 КоАП России,ст. 6.9 КоАП России,Доля городского населения в общей численности населения на 1 января,Принято студентов в ВУЗы,Число новых случаев наркомании на 100 тыс.,Безработица по МОТ,Валовой региональный продукт на душу населения,Введено общей площади жилых домов,0-15 лет,15-19 лет,>= 70 лет,20-29 лет,30-39 лет,40-49 лет,50-59 лет,60-69 лет,Доля населения с доходами ниже МРОТ
1806,Сахалинская область,2018-01-01,224,45.75,0.0018677624206200972,0.00033834404756150614,0.012422360248447204,0.0009689068968554567,0.06132879045996593,0.03580832016850974,0.18775403757510942,0.025906735751295335,0.03626943005181347,0.09326424870466321,0.22797927461139897,0.18652849740932642,0.35233160621761656,0.07772020725388601,236113,253525,451.0,100.0,264.0,82.0,1452,18.4,5.3,2517125.0,76.2,18.400000000000006,4.8,6.7,11.8,17.1,14.9,13.4,12.899999999999999,
1807,Свердловская область,2018-01-01,5699,132.05,0.026679409070999083,0.0026102557315333596,0.023274806043282973,0.0037267454846149407,0.026799789805570153,0.040405223399894594,0.09164920080359912,0.15459160129210892,0.08191047531149054,0.05260729118597139,0.3426395939086294,0.10590678357175819,0.159206275957545,0.10313797877249654,1980351,2335348,3136.0,1092.0,2821.0,84.8,32789,12.9,4.8,560977.3,97.4,18.5,4.5,9.3,11.9,16.5,13.6,13.100000000000001,12.600000000000001,
1808,Смоленская область,2018-01-01,301,31.94,0.007194244604316547,0.0004758344096254503,0.01650871293182513,0.0007112255092882665,0.032846715328467155,0.023952095808383235,0.03456737953822527,0.02889576883384933,0.05779153766769866,0.22291021671826625,0.34674922600619196,0.14860681114551083,0.13209494324045407,0.0629514963880289,438936,503427,466.0,49.0,459.0,71.9,5311,7.1,5.2,354239.9,74.3,14.799999999999997,4.2,9.9,12.2,16.2,13.7,15.100000000000001,13.9,
1809,Ставропольский край,2018-01-01,929,33.24,0.0032032909599757223,0.0005383869925702595,0.03378979192601814,0.0009965896519250638,0.027049521431543905,0.01326198231735691,0.16691877514393313,0.11529126213592233,0.04854368932038835,0.23058252427184467,0.39684466019417475,0.07888349514563107,0.0691747572815534,0.06067961165048544,1303742,1491501,2259.0,267.0,2297.0,58.4,16291,4.2,5.0,280220.7,104.9,17.80000000000001,4.9,9.3,14.2,16.1,13.2,13.2,11.3,
1810,Тамбовская область,2018-01-01,222,21.85,0.00231839258114374,0.0005023610971566361,0.008335814230425722,0.0008811468465109974,0.0316622691292876,0.005,0.0001755560514766049,0.03375527426160337,0.05625879043600562,0.15752461322081576,0.4388185654008439,0.1350210970464135,0.09563994374120956,0.0829817158931083,467562,548404,632.0,81.0,653.0,60.9,7626,5.1,4.1,343693.1,102.3,14.0,4.4,11.9,11.899999999999999,14.4,13.7,15.6,14.1,
1811,Тверская область,2018-01-01,946,74.51,0.008244023083264633,0.0013785117587053017,0.016568483063328424,0.006343385286319597,0.04224058769513315,0.11867088607594936,0.058880301322176816,0.01713796058269066,0.0856898029134533,0.07712082262210797,0.4387317909168809,0.07883461868037704,0.12853470437017994,0.17395029991431019,578764,690872,398.0,59.0,722.0,75.8,6165,5.5,4.1,368955.6,72.6,15.800000000000011,4.2,11.3,11.3,15.399999999999999,13.4,14.7,13.899999999999999,
1812,Томская область,2018-01-01,1389,128.92,0.0012741804702884282,0.002839580410235852,0.025039123630672927,0.0049382716049382715,0.09168241965973535,0.17291666666666666,0.1710714599788959,0.02024850437183617,0.07823285780027611,0.11780947998159227,0.37367694431661297,0.1785549930971008,0.15278416935112749,0.0786930510814542,504951,572491,620.0,85.0,190.0,72.4,16346,7.7,6.3,568191.7,91.5,18.0,5.0,7.7,14.899999999999999,17.4,13.0,12.600000000000001,11.399999999999999,
1813,Тульская область,2018-01-01,844,57.07,0.029242569511025888,0.0009568360620880289,0.016784910884236028,0.001963658739638759,0.022997032640949554,0.03268551236749117,0.06527148637710573,0.08486956521739131,0.03756521739130435,0.13495652173913045,0.6038260869565217,0.043130434782608695,0.051478260869565216,0.04417391304347826,669703,809115,356.0,62.0,536.0,74.8,8227,9.0,3.9,448896.8,105.4,14.0,3.9,11.899999999999999,11.3,15.9,14.4,14.2,14.399999999999999,
1814,Тюменская область без АО,2018-01-01,1759,115.82,0.00565698122910774,0.0022785906634276783,0.030357888873415957,0.0070059346618380385,0.02370312803574898,0.032036613272311214,0.0028588140307898306,0.05796146879631154,0.07969701959492838,0.1435863658817718,0.48674460727811625,0.08035567264943191,0.04610571381524782,0.10554915198419233,721965,796730,1129.0,257.0,602.0,66.6,14653,13.2,4.5,872684.2,95.0,20.5,4.7,6.699999999999999,13.7,17.700000000000003,12.5,13.0,11.2,
1815,Удмуртская Республика,2018-01-01,1201,79.67,0.0034867104887110604,0.0013104407359863072,0.29304029304029305,0.0042141313060163705,0.03527435610302351,0.04053236539624924,0.0008593485218027022,0.06692265496434449,0.05375754251234229,0.1755348326933626,0.38069116840373013,0.13823368074602305,0.07350521119034559,0.1113549094898519,694344,813046,1035.0,118.0,1388.0,65.8,12659,7.7,4.8,450225.9,108.9,19.5,5.0,7.800000000000001,11.7,16.0,13.2,14.4,12.399999999999999,
1816,Ульяновская область,2018-01-01,1083,87.45,0.009561752988047808,0.0013791374122367102,0.01644821382677975,0.006393155377354023,0.041555851063829786,0.02211874272409779,0.12566280113733636,0.015103838892385148,0.08307111390811832,0.08055380742605413,0.5097545626179988,0.15733165512901195,0.04782882315921964,0.10635619886721208,569798,668618,668.0,26.0,466.0,75.3,9243,19.1,3.7,311203.3,100.5,15.599999999999994,4.2,10.200000000000001,12.2,15.0,13.1,15.8,13.9,
1817,Хабаровский край,2018-01-01,375,28.38,0.0015791135909043058,0.0005089346301741688,0.0009733036707452725,0.0015425058115535858,0.046511627906976744,0.01154132539091586,0.0003271391753509818,0.05429864253393665,0.09773755656108597,0.025339366515837104,0.5140271493212669,0.07239819004524888,0.11221719457013575,0.12398190045248869,629484,691989,1095.0,89.0,1229.0,82.1,10911,18.7,3.8,574833.3,101.5,19.299999999999997,5.3,7.2,13.0,16.5,14.0,12.8,11.9,
1818,Ханты-Мансийский АО-Югра,2018-01-01,1615,97.07,0.011656441717791411,0.0009727215056037217,0.029232251847092838,0.0037474656828530594,0.03775343742717315,0.027605244996549344,0.0007108599388174879,0.052643731239898406,0.06372662202724544,0.08404525513738166,0.41653197875779263,0.14961902562918494,0.07388593858231356,0.15954744862618334,809771,854024,1203.0,58.0,716.0,92.3,5980,6.2,2.5,2715827.8,72.1,22.0,5.3,2.9,12.2,19.1,15.2,14.7,8.600000000000001,
1819,Челябинская область,2018-01-01,4175,120.12,0.008807588075880758,0.0022414210398930853,0.027617741197988113,0.005539378924620475,0.026375928394591505,0.029314420803782507,0.034460166071277346,0.09260515603799185,0.07225237449118047,0.10244233378561737,0.3504070556309362,0.09396200814111262,0.12618724559023067,0.1621438263229308,1591608,1884145,5108.0,601.0,1958.0,82.7,22365,20.6,5.6,436611.1,107.6,18.299999999999997,4.7,9.200000000000001,12.399999999999999,16.299999999999997,13.399999999999999,13.3,12.4,
1820,Чеченская Республика,2018-01-01,154,10.57,0.00030211480362537764,1.8040772145047808e-05,0.006081668114682885,0.00017928490933306014,0.027972027972027972,0.0029133284777858705,0.00015887426508110454,0.025974025974025976,0.012987012987012988,0.09090909090909091,0.45454545454545453,0.2077922077922078,0.05194805194805195,0.15584415584415584,718035,738916,763.0,39.0,118.0,34.9,7367,0.6,13.7,154705.5,56.1,32.400000000000006,8.6,2.4,16.3,15.4,10.2,9.2,5.5,
1821,Чувашская Республика,2018-01-01,396,32.37,0.0029609690444145358,0.000553639112473915,0.00024813895781637717,0.0017099385817978784,0.030800821355236138,0.009502923976608187,0.008849784382439229,0.0835707502374169,0.09876543209876543,0.003798670465337132,0.5584045584045584,0.11396011396011396,0.04938271604938271,0.09211775878442545,572546,650849,897.0,66.0,596.0,62.5,7837,1.2,5.0,257992.5,98.7,18.299999999999997,4.7,8.8,12.5,15.1,13.7,15.100000000000001,11.8,
1822,Чукотский АО,2018-01-01,35,70.48,0.008152173913043478,0.0011614401858304297,0.01,0.0012072434607645875,0.07051282051282051,0.0,0.0004967709885742673,0.12903225806451613,0.08602150537634409,0.043010752688172046,0.12903225806451613,0.4731182795698925,0.0,0.13978494623655913,25213,24450,17.0,4.0,25.0,70.5,58,,3.1,1685134.1,44.9,21.700000000000003,6.0,2.2,11.0,18.299999999999997,16.3,15.9,8.6,
1823,Ямало-Ненецкий АО,2018-01-01,296,54.67,0.005659309564233163,0.0004005126561999359,0.0039164490861618795,0.0007334273624823696,0.037712895377128956,0.014539579967689823,0.0008118033868374891,0.06546644844517185,0.06546644844517185,0.019639934533551555,0.425531914893617,0.20294599018003273,0.058919803600654665,0.16202945990180032,268679,272800,287.0,51.0,608.0,83.8,120,18.9,2.1,5650999.3,78.8,22.799999999999997,5.7,1.4,11.7,20.0,17.1,15.0,6.3,
1824,Ярославская область,2018-01-01,743,58.99,0.0033821871476888386,0.0013881593757034591,0.04606025492468135,0.00266026553162004,0.062146892655367235,0.014294592914853946,0.0004812017923873401,0.005221932114882507,0.06440382941688425,0.27676240208877284,0.3742384682332463,0.057441253263707574,0.12010443864229765,0.10182767624020887,565653,693959,425.0,39.0,266.0,81.8,7431,9.0,5.5,462207.4,101.8,16.299999999999997,4.4,10.799999999999999,11.4,15.9,13.8,14.0,13.399999999999999,
1825,г. Москва,2018-01-01,8743,69.3,0.005007256894049347,0.0011908000660068952,0.04872197865828439,0.0027553884012323938,0.2572986282096377,0.05639344262295082,0.15307731228415952,0.01111379560280261,0.0430055568978014,0.09486993637754691,0.20037045985342675,0.2356446806797133,0.09696383989691552,0.3180317306917935,5829386,6785893,7215.0,415.0,1514.0,98.7,164625,8.7,1.2,1494938.0,103.6,14.200000000000003,4.0,11.2,11.6,18.0,14.9,14.4,11.7,
1826,г. Санкт-Петербург,2018-01-01,1990,36.96,0.002681321015185303,0.0005201575334244085,0.014415781487101669,0.003721455527091425,0.027056277056277056,0.018172466998114176,0.009030349378991928,0.04536267684706939,0.0408713227037952,0.09386930159443072,0.6067819447563441,0.056141926790927464,0.04760835391870649,0.10936447338872671,2437926,2945964,6337.0,361.0,3120.0,100.0,85788,9.4,1.5,891448.8,111.7,14.599999999999994,3.9,10.8,13.5,17.9,13.8,13.5,12.0,
1828,Алтайский край,2019-01-01,2631,113.54,0.009151620084095969,0.0018154415290813181,0.04759106933019976,0.00441447617246596,0.06930540582165409,0.03109059995142094,0.0009407762660633576,0.020095044127630687,0.05756958587915818,0.1319755600814664,0.40570264765784114,0.24439918533604887,0.06951799049558724,0.07073998642226748,1069965,1247188,1994.0,282.0,954.0,56.7,12713,14.2,5.8,271319.7,96.3,17.900000000000006,4.9,9.5,10.8,15.8,13.7,13.3,14.1,17.6
1829,Амурская область,2019-01-01,159,20.13,0.0015888147442008262,0.0005356760231412042,0.011447260834014717,0.0010471204188481676,0.11924119241192412,0.010626992561105207,0.0003922562022799733,0.025974025974025976,0.05194805194805195,0.14545454545454545,0.38441558441558443,0.22857142857142856,0.05194805194805195,0.11168831168831168,374663,415381,1399.0,164.0,975.0,67.5,4143,24.5,5.4,521060.1,129.1,19.299999999999997,5.5,7.499999999999999,12.3,16.5,14.399999999999999,12.4,12.1,15.7
1830,Архангельская область без АО,2019-01-01,433,39.64,0.0018070474851922499,0.0009058684521465143,0.008172266182384227,0.0022206155752943608,0.046019900497512436,0.008681925808997633,0.0002013026188431263,0.05834683954619125,0.07455429497568881,0.20421393841166938,0.4181523500810373,0.11993517017828201,0.03565640194489465,0.08914100486223663,511576,580848,354.0,119.0,293.0,78.5,4348,9.2,6.2,,105.9,17.599999999999994,4.8,9.3,10.4,16.0,14.2,13.899999999999999,13.8,
1831,Астраханская область,2019-01-01,228,22.67,0.0013270142180094786,0.00046974085962577314,0.012550425818018825,0.0009829985925247425,0.022091310751104567,0.007067137809187279,0.00022405420522729583,0.04886561954624782,0.08376963350785341,0.19546247818499127,0.30715532286212915,0.10471204188481675,0.013961605584642234,0.24607329842931938,474085,531697,986.0,85.0,1249.0,66.8,7173,0.1,7.6,596388.2,97.0,19.299999999999997,5.1,8.799999999999999,12.4,16.1,13.2,13.1,12.0,15.5
1832,Белгородская область,2019-01-01,319,20.59,0.00123334977799704,0.0002208859982819978,0.00693196405648267,0.0005330245466993834,0.03863432165318958,0.017619047619047618,0.00015821595632684407,0.02304147465437788,0.041474654377880185,0.12442396313364056,0.2672811059907834,0.19815668202764977,0.17050691244239632,0.17511520737327188,716185,832966,707.0,139.0,1444.0,67.5,11136,3.0,3.9,617426.5,101.5,16.200000000000003,4.4,10.1,11.5,16.2,13.6,14.4,13.600000000000001,7.8
1833,Брянская область,2019-01-01,346,29.01,0.0014134275618374558,0.0004399794676248442,0.005329543435779001,0.000752195107838741,0.050078247261345854,0.008644800406814137,0.12512456872834038,0.025848142164781908,0.03877221324717286,0.09693053311793215,0.5040387722132472,0.20678513731825526,0.1098546042003231,0.017770597738287562,545602,646889,492.0,51.0,787.0,70.4,5637,7.2,3.8,332442.8,101.0,16.0,4.4,10.5,11.3,15.7,13.7,14.8,13.6,13.8
1834,Владимирская область,2019-01-01,727,53.52,0.008959875340864823,0.0006204756980351603,0.01863053472054198,0.002509569128576322,0.1986206896551724,0.038308457711442784,0.06746785763958403,0.032428621783574196,0.04652802255904124,0.10856538597109623,0.4751498061332393,0.20303137116672543,0.10856538597109623,0.025731406415227354,616974,741442,541.0,69.0,238.0,78.3,7869,7.3,4.0,394560.3,113.4,15.5,4.5,11.3,10.7,15.7,13.8,14.3,14.2,12.6
1835,Волгоградская область,2019-01-01,1124,45.12,0.0021286948059846735,0.0009619653692467072,0.024477398606396285,0.0017778979216269326,0.012897798962568345,0.009140767824497258,0.012548678911500384,0.0428921568627451,0.06372549019607843,0.16789215686274508,0.41911764705882354,0.11274509803921569,0.0857843137254902,0.10784313725490197,1154910,1336126,1106.0,110.0,1475.0,77.1,14816,8.4,5.3,384677.3,114.6,16.400000000000006,4.6,10.799999999999999,11.899999999999999,16.0,13.7,13.7,12.9,12.9
1836,Вологодская область,2019-01-01,376,32.4,0.004317403602798868,0.0007061149555147578,0.01875,0.001953784907378843,0.037803138373751786,0.05360134003350084,0.06267004806949053,0.07431133888532991,0.07687379884689302,0.14606021780909673,0.34080717488789236,0.13581037796284434,0.16399743754003843,0.06213965406790519,534963,625482,467.0,152.0,1807.0,72.6,4854,7.0,4.5,541318.7,109.0,18.10000000000001,4.7,9.0,10.5,16.5,13.4,14.1,13.7,12.9
1837,Воронежская область,2019-01-01,813,34.98,0.002432695426532598,0.0005190311418685121,0.024933384088313665,0.0012260411132453308,0.08365508365508366,0.016954608863611977,0.0073612828690214445,0.018281535648994516,0.029250457038391225,0.15965874466788543,0.40219378427787933,0.15843997562461914,0.19256550883607557,0.039609993906154786,1067605,1256600,1248.0,205.0,920.0,67.8,21959,22.2,3.6,431037.0,110.3,15.0,4.3,11.4,12.0,16.1,13.4,14.2,13.6,8.9
1838,Еврейская автономная область,2019-01-01,63,39.8,0.005905511811023622,0.00032927230819888045,0.0016863406408094434,0.001394700139470014,0.07216494845360824,0.15789473684210525,0.00036876297880958684,0.12903225806451613,0.043010752688172046,0.021505376344086023,0.3010752688172043,0.15053763440860216,0.25806451612903225,0.0967741935483871,75265,83040,225.0,57.0,620.0,68.8,481,23.8,6.2,355545.7,81.9,20.200000000000003,5.3,7.5,12.0,16.5,14.4,12.0,12.100000000000001,23.9
1839,Забайкальский край,2019-01-01,464,43.79,0.001953209774729806,0.0007424077210402988,0.0055248618784530384,0.0018315448376265058,0.0469208211143695,0.0034897713598074608,0.0002622531884678189,0.11214953271028037,0.07975077881619938,0.06728971962616823,0.38878504672897196,0.15950155763239876,0.14454828660436136,0.047975077881619935,507933,551767,1316.0,165.0,1920.0,68.4,5195,14.1,9.3,343033.0,115.2,21.80000000000001,6.0,6.2,13.399999999999999,16.9,13.2,11.5,11.0,21.5
1840,Ивановская область,2019-01-01,683,68.5,0.008183306055646482,0.0012051580765677099,0.009427250088936322,0.002314782920208882,0.035464803868887694,0.01847063169560399,0.25063864017992726,0.022598870056497175,0.06779661016949153,0.11977401129943503,0.37966101694915255,0.14915254237288136,0.11299435028248588,0.1480225988700565,451447,545688,385.0,48.0,235.0,81.6,6252,7.3,3.8,249591.6,89.4,15.900000000000006,4.3,11.0,11.4,15.6,13.899999999999999,14.0,13.9,14.2
1841,Иркутская область,2019-01-01,3197,133.7,0.006535319557904854,0.001832002348201905,0.06941351150705272,0.004929852998714438,0.027572731220147632,0.02275436125257341,0.0063607325411747144,0.05259087393658159,0.0699922660479505,0.07231245166279969,0.511600928074246,0.09822119102861562,0.08120649651972157,0.11407579273008507,1106100,1285093,1388.0,187.0,1337.0,78.7,17241,11.7,6.6,645518.8,103.3,21.0,5.3,7.7,12.4,16.5,13.3,12.3,11.5,17.9
1842,Кабардино-Балкарская Республика,2019-01-01,275,31.67,0.0019011406844106464,0.0004101442340556429,0.025451559934318555,0.0009066126450580232,0.0660377358490566,0.014234875444839857,0.000574791925323033,0.008537886872998933,0.051227321237993596,0.13233724653148346,0.6189967982924226,0.05976520811099253,0.10245464247598719,0.026680896478121666,408116,460234,801.0,78.0,281.0,52.1,4690,10.6,10.8,197218.3,108.8,20.400000000000006,5.5,7.3,14.3,16.5,12.399999999999999,13.899999999999999,9.7,24.2
1843,Калининградская область,2019-01-01,426,42.07,0.0013234515616728428,0.0004696701470428845,0.008978675645342313,0.0021615092420413547,0.1543859649122807,0.029914529914529916,0.030390568585718758,0.013458950201884253,0.034993270524899055,0.04306864064602961,0.36608344549125166,0.3553162853297443,0.05652759084791386,0.13055181695827725,476157,536355,395.0,143.0,570.0,77.7,5137,7.1,4.4,515933.0,102.1,16.900000000000006,4.7,9.0,12.399999999999999,16.7,14.2,13.3,12.8,13.5
1844,Калужская область,2019-01-01,398,39.7,0.001623640201331385,0.0009654839488293508,0.031573754316724226,0.0015603869759700407,0.06394316163410302,0.007780659503519822,0.007631638327331902,0.03330557868442964,0.06661115736885928,0.21315570358034971,0.34970857618651124,0.11990008326394672,0.06994171523730225,0.14737718567860117,465374,537201,769.0,32.0,102.0,76.0,4375,7.4,3.7,541870.1,100.7,16.099999999999994,4.2,10.5,11.0,16.6,13.7,14.2,13.7,10.2
1845,Камчатский край,2019-01-01,162,51.75,0.0,0.000437636761487965,0.028014616321559074,0.0011580381471389645,0.10596026490066225,0.0039656311962987445,0.0005290664507462137,0.0,0.04221635883905013,0.24274406332453827,0.17941952506596306,0.16886543535620052,0.0633245382585752,0.3034300791556728,156061,156955,338.0,98.0,437.0,78.4,1131,10.2,3.8,891049.1,126.0,17.900000000000006,5.0,6.300000000000001,12.2,18.3,15.799999999999999,13.6,10.9,14.9
1846,Карачаево-Черкесская Республика,2019-01-01,112,24.06,0.002894356005788712,0.00034569181574626223,0.040865384615384616,0.0016851929870045695,0.046822742474916385,0.02529182879377432,0.00023840839132575052,0.05417607223476298,0.03611738148984198,0.15349887133182843,0.46952595936794583,0.12641083521444696,0.11738148984198646,0.04288939051918736,215825,249703,520.0,25.0,261.0,42.8,2634,3.7,11.7,197658.3,121.2,19.5,5.6,7.8,13.3,16.1,13.0,13.899999999999999,10.8,23.3
1847,Кемеровская область,2019-01-01,5266,198.13,0.009690134676448045,0.004131047687970208,0.02306505319580931,0.0113118236821508,0.05824074074074074,0.03165338421820631,0.0061609728533939595,0.04642318536489411,0.07186414005638975,0.07448691889056455,0.4776080257032326,0.16497278866959544,0.07396236312372959,0.09068257819159399,1221648,1436206,1964.0,187.0,930.0,86.0,12307,13.8,5.5,416501.2,119.3,18.5,4.9,8.8,11.1,16.8,13.7,13.0,13.2,13.6
1848,Кировская область,2019-01-01,243,19.25,0.0012259910093992644,0.0007387797820599643,0.00544069640914037,0.0008536396088778519,0.062381852551984876,0.011873350923482849,8.127325303967429e-05,0.03080872913992298,0.06161745827984596,0.1797175866495507,0.45186136071887034,0.16944801026957637,0.04621309370988447,0.06033376123234917,581425,680977,517.0,175.0,542.0,77.3,6865,3.8,4.8,292171.6,91.1,17.299999999999997,4.4,10.100000000000001,10.1,15.1,13.5,14.4,15.100000000000001,14.6
1849,Костромская область,2019-01-01,290,45.79,0.00684931506849315,0.0012029833988290962,0.020801623541349568,0.0038129130655821047,0.022267206477732792,0.02254283137962128,0.2501949310477278,0.03591470258136925,0.06734006734006734,0.1840628507295174,0.4713804713804714,0.04938271604938271,0.1122334455667789,0.07968574635241302,291233,342152,311.0,71.0,767.0,72.4,2562,9.7,4.1,319404.6,107.5,17.200000000000003,4.6,10.1,10.3,15.3,13.6,14.6,14.3,12.6
1850,Краснодарский край,2019-01-01,2814,49.58,0.0035810205908683975,0.0007114062129475931,0.023130715438407747,0.002278259856735193,0.04961753152780649,0.013391362571141614,0.040764331403903765,0.013728855111546949,0.05883795047805835,0.14758519244912968,0.47952929639617553,0.1176759009561167,0.05883795047805835,0.12380485413091444,2630952,3044510,4671.0,757.0,6902.0,55.2,24598,2.7,4.8,453882.0,102.2,17.900000000000006,4.7,10.0,11.6,16.4,13.8,13.2,12.399999999999999,10.4
1851,Красноярский край,2019-01-01,3400,118.62,0.00669776342542758,0.0014224307992607513,0.01924794932185495,0.006261943359407913,0.04633270644554625,0.05323620061641916,0.06029144528899819,0.019242333132892364,0.04707499355725453,0.08143630272313375,0.6384331243020359,0.09311914783953269,0.06528648741517051,0.05540761102998024,1338395,1527860,2202.0,375.0,1071.0,77.6,17340,15.2,4.5,938016.7,110.1,18.700000000000003,5.0,7.800000000000001,12.5,17.5,14.0,12.8,11.7,17.3
1852,Курганская область,2019-01-01,884,106.87,0.005467625899280576,0.0017251078192387025,0.0267639902676399,0.004785287027943934,0.033824114604058896,0.04428571428571428,0.0006954645150712497,0.05988967691095351,0.07249802994483845,0.12135539795114263,0.4223798266351458,0.13396375098502758,0.09771473601260836,0.09219858156028368,381233,445933,801.0,45.0,367.0,62.1,3060,14.9,7.8,280971.3,98.1,18.200000000000003,4.8,10.799999999999999,10.3,13.899999999999999,13.1,14.1,14.8,19.6
1853,Курская область,2019-01-01,355,32.16,0.0017445482866043614,0.0005265731372475269,0.01479174776177501,0.0008288678682827166,0.049145299145299144,0.013375295043273014,0.00031041373564291035,0.0532825880114177,0.0532825880114177,0.14462416745956233,0.43387250237868696,0.17507136060894388,0.06470028544243578,0.07516650808753568,502295,601713,693.0,69.0,755.0,68.2,8230,5.6,4.0,449288.6,92.1,15.800000000000011,4.6,10.6,11.2,15.1,13.6,14.9,14.2,9.9
1854,Ленинградская область,2019-01-01,1248,66.53,0.0009689922480620155,0.001110530441599164,0.047619047619047616,0.0036972905460067843,0.005103448275862069,0.011037527593818985,0.0004725587654175454,0.010962658444672833,0.0698869475847893,0.0013703323055841042,0.7139431312093183,0.050702295306611855,0.020554984583761562,0.13257965056526208,878621,997251,811.0,79.0,206.0,64.3,1232,11.0,3.9,657679.7,110.0,14.799999999999997,4.3,10.2,11.600000000000001,18.0,14.0,13.6,13.5,8.8
1855,Липецкая область,2019-01-01,329,28.88,0.0012890289315382413,0.0008385041086701325,0.009834599910594547,0.000737422843720981,0.03993480032599837,0.008527755430410297,0.038785955984620174,0.029532403609515995,0.06562756357670221,0.1443806398687449,0.35438884331419196,0.16078753076292043,0.17391304347826086,0.07136997538966366,521004,618367,511.0,104.0,915.0,64.5,4688,5.9,3.7,499587.0,138.9,16.30000000000001,4.2,10.7,10.5,15.7,14.0,14.7,13.9,8.6
1856,Магаданская область,2019-01-01,38,27.11,0.0,0.0008946544397226571,0.0038314176245210726,0.000702576112412178,0.10480349344978165,0.008849557522123894,0.004893643680229844,0.0,0.09090909090909091,0.045454545454545456,0.13636363636363635,0.5454545454545454,0.022727272727272728,0.1590909090909091,67865,72284,180.0,26.0,117.0,96.1,673,7.8,4.6,1518066.7,170.3,17.700000000000003,5.0,5.500000000000001,10.399999999999999,17.9,16.6,14.4,12.5,9.3
1857,Московская область,2019-01-01,3596,46.76,0.007723995880535531,0.002455423235525641,0.041602325370151697,0.008701053894267844,0.14672260094389092,0.13676907829534193,0.11903758330496574,0.010623699703421717,0.06020096498605639,0.08109424106945244,0.3596122349608251,0.2477092647514497,0.07330352795360985,0.1674560665751848,3563252,4127611,4423.0,210.0,1407.0,81.5,17554,11.5,2.7,670800.3,93.5,17.099999999999994,4.3,9.3,11.2,18.5,14.7,13.1,11.8,7.3
1858,Мурманская область,2019-01-01,458,61.77,0.0019165247018739352,0.0011492167180789936,0.02261772339636633,0.0013878800456573622,0.04281345565749235,0.036312849162011177,0.08385762529810376,0.05806451612903226,0.06129032258064516,0.1967741935483871,0.34516129032258064,0.13548387096774195,0.08387096774193549,0.11935483870967742,356705,384699,465.0,82.0,382.0,92.2,1573,5.6,5.5,828365.9,91.5,17.799999999999997,5.0,6.8,11.7,17.6,15.5,13.9,11.7,10.6
1859,Ненецкий АО,2019-01-01,8,18.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21501,22610,23.0,12.0,4.0,73.3,0,2.3,7.9,7530484.7,54.3,23.400000000000006,6.3,4.9,10.6,17.1,14.100000000000001,13.399999999999999,10.2,9.4
1860,Нижегородская область,2019-01-01,2400,74.93,0.007051191651389085,0.0017779817039947235,0.025234441602728048,0.002862533342007677,0.09024348714455985,0.023166023166023165,0.05810140290385478,0.041567078873532164,0.05154317780317988,0.0615192767328276,0.4206588382001455,0.22030551802972045,0.12968928608542035,0.07471682427517407,1456349,1746597,1885.0,327.0,2631.0,79.6,23122,8.1,4.1,505460.2,104.3,16.10000000000001,4.3,10.6,11.600000000000001,16.4,13.7,13.7,13.6,9.5
1861,Новгородская область,2019-01-01,402,67.39,0.008016032064128256,0.0014681348014681348,0.02939118264520644,0.0023148826442406308,0.06,0.012048192771084338,0.000626756858411114,0.013490725126475547,0.07419898819561552,0.14165261382799327,0.5328836424957841,0.14165261382799327,0.03035413153456998,0.0657672849915683,269660,326848,396.0,87.0,366.0,71.3,2370,9.2,3.6,457123.3,107.8,16.400000000000006,4.4,11.3,10.3,15.7,13.3,14.0,14.6,13.8
1862,Новосибирская область,2019-01-01,3347,119.61,0.0035828225798335395,0.002276124801080195,0.026240073656347104,0.004103447922116558,0.03261995167414567,0.0044293985509539025,0.0007507006477332393,0.12596196373286156,0.08350287483414419,0.08067226890756303,0.42459088898717384,0.06687306501547988,0.14860681114551083,0.0697921273772667,1302554,1495616,1051.0,158.0,562.0,79.1,25919,19.4,6.1,504043.1,100.0,17.700000000000003,4.6,9.1,12.2,17.5,13.7,12.7,12.5,13.9
1863,Омская область,2019-01-01,1830,94.98,0.006630149209339216,0.0012427730048089913,0.012395946435034383,0.0014338613354704466,0.0546133946536361,0.03120602599122589,0.012879204729591672,0.3245374582954201,0.05580831058538065,0.08310585380649074,0.18016378525932666,0.11525629360024264,0.22869275098574463,0.0124355474673946,890677,1035988,1555.0,108.0,580.0,72.8,15964,7.4,6.5,399371.1,102.9,18.599999999999994,4.6,8.6,12.0,16.4,13.2,13.899999999999999,12.7,13.9
